code,MARKET_CAP,EP,BP,DIVIDEND_YIELD,ROE,ROE_STABILITY,PROFIT_GROWTH,OCF_TO_REVENUE,MOMENTUM_20,MOMENTUM_60,VOLATILITY_20,TURNOVER_STABILITY,VOLUME_PRICE_DIVERGENCE,INDUSTRY,LIST_DATE
600808.SH,18902528685.84,0.05,1.4690406226017454,0.02,-4.67,3.474761904117517,-54.75,0.05327868852459017,-0.054263565891472965,-0.09293680297397766,0.181306559243162,4.713264790671869,-0.3758735126052925,钢铁,2010-01-01
600502.SH,8325189599.3,0.1865985983840345,1.197288018121002,0.06469194312796209,11.41,0.3018176854904947,12.57,0.25355450236966826,0.041975308641975184,0.05764411027568905,0.2915456441602345,2.5821820403537785,-0.2381540968426501,建筑装饰,2010-01-01
002607.SZ,18193828197.55,0.05,0.031169855628880926,0.02,-31.1,0.10008635729926695,80.98,-0.022033898305084745,-0.11940298507462688,-0.26616915422885556,0.5850678687552405,3.034226489068877,-0.2790047743603085,传媒,2010-01-01
600104.SH,174439762636.15,0.08527662575073128,1.6413617110985743,0.025162482041458573,4.98,0.6398925070188143,-12.48,0.12382841896421974,0.006888475580354214,0.11861942297390371,0.13942973627812447,3.7762138678153363,-0.36265302151715173,汽车,2010-01-01
300014.SZ,80110453822.52,0.05327404653639582,0.43356218768889765,0.015762239617885098,12.48,0.20868360472943684,15.42,0.056255804696828976,0.006140702175944535,-0.0739648605479788,0.6139285935443197,1.9451991180111559,-0.7979224757306282,电力设备,2010-01-01
600395.SH,13094411853.4,0.09993476009024409,0.8716376837839339,0.01769896193771626,6.39,0.12555873779336058,-66.62,0.05795847750865052,-0.021996615905245376,-0.02033898305084747,0.303677581289282,1.4050150883833752,-0.44695514249587387,煤炭,2010-01-01
601015.SH,7291716571.23,0.05,1.0449542887881231,0.02,-6.23,0.7179828099849709,-281.7,0.03781512605042017,-0.07272727272727275,-0.19413092550790068,0.1828002708311134,4.705326813943949,-0.23681979350305155,煤炭,2010-01-01
600809.SH,298988831527.76,0.034846752597933864,0.09310350410585988,0.010947411037715744,43.06,0.11017694091141163,28.93,0.01261453228212231,0.03749392050227707,0.052808686288585927,0.2728197264577496,2.6719537341936253,-0.6521025679394812,食品饮料,2010-01-01
600519.SH,2139179233620.0,0.03328044892503418,0.10081837379212984,0.01117823354221667,34.19,0.11533519758802425,19.16,0.016601057882918855,0.01694283703347499,-0.013646964338115963,0.1633010165873162,2.7948123257040085,-0.7048318574120748,食品饮料,2010-01-01
000717.SZ,5696037136.5,0.05,1.5999180329993332,0.0025787234042553187,0.53,1.3859705112124467,103.82,0.11914893617021277,-0.06746031746031744,-0.08560311284046684,0.30930636460088134,2.2229593993927304,-0.19777605334301862,钢铁,2010-01-01
000651.SZ,221370559678.71,0.11878095594293307,0.5275937158650164,0.047471807930156415,26.53,0.12555421626960317,18.41,0.15187340851218625,-0.022519853028327597,0.26935508696321375,0.2191815425580764,2.9957220606274473,0.40006981370474065,家用电器,2010-01-01
600383.SH,17019980066.44,0.052181238980881235,3.822464124740765,0.016,1.36,0.3413824425467331,-85.48,0.06533333333333333,-0.07635467980295563,-0.1496598639455783,0.3812008298874508,3.2784659358702926,-0.6033948426157215,房地产,2010-01-01
601668.SH,218088550806.56,0.23415826164952805,1.9188462361351368,0.08367042793272302,13.36,0.2619077380839083,6.5,0.027677240791994892,-0.0021244954323347276,0.09819967266775786,0.146465692731098,4.865873655263027,-0.07904078647898347,建筑装饰,2010-01-01
600600.SH,113733086215.56,0.03752515251871214,0.24134998107900618,0.011894657067070859,16.12,0.20901074273701306,15.02,0.012883668056081848,0.0483315677966103,0.1130324757486294,0.287636147599645,2.3091491454366593,-0.3048405578182225,食品饮料,2010-01-01
601928.SH,27917553000.0,0.10587611316358721,0.6857176304489677,0.03525531914893617,16.34,0.23326477897556339,41.8,0.05167173252279636,0.09302325581395343,0.33921302578018975,0.37550918164533414,2.564794472852266,-0.08462289808867393,传媒,2010-01-01
002179.SZ,72937548636.36,0.04578287023288611,0.281011498077214,0.014937617448630664,17.68,0.21381823383576268,22.86,0.022488524691167862,0.0030901393652853493,-0.11116891651378669,0.3836647710779416,3.345411119808836,-0.6305024011279912,国防军工,2010-01-01
600570.SH,42864145331.52,0.0332286888817332,0.18731037329979638,0.010076130765785937,19.27,0.14293609943515803,30.5,0.01477832512315271,-0.09079804560260585,-0.21206774876499657,0.3970931480444181,3.617996486388928,-0.43546306380640276,计算机,2010-01-01
002078.SZ,40688984612.64,0.07550305347712302,0.6402521056691283,0.02380952380952381,12.59,0.2572105816502712,9.86,0.0854978354978355,0.042105263157894646,0.20417028670721105,0.20247925985982904,3.954096376491162,-0.6085276474913989,轻工制造,2010-01-01
000063.SZ,133883210940.48,0.06965588095293378,0.5079674026751981,0.022030723117272385,15.19,0.24844522630913826,15.41,0.06819033345822405,-0.07870210562651014,0.0676000000000001,0.42571843149546745,2.877197921466141,-0.28628049288505336,通信,2010-01-01
600054.SH,8913016756.8,0.0376613585276654,0.5033637002418627,0.014784603619678816,9.88,0.28930111614923887,424.29,0.04205964822839663,0.12525098001721013,0.13283280392723085,0.2524592076188842,3.1985144252100324,-0.6570300420576897,社会服务,2010-01-01
000725.SZ,152869268531.7,0.02146887342803532,0.8332930852773144,0.004522613065326633,1.89,0.5209531958140905,-66.22,0.12814070351758794,0.0025188916876572875,0.06417112299465244,0.15140076769069266,4.985467182640816,-0.0011808170156396144,电子,2010-01-01
002241.SZ,54605810732.22,0.019926024653400275,0.5642364811464076,0.00629879929138508,3.59,0.26429049917663355,-37.8,0.07807886621612754,-0.07635900854493671,-0.1699253853275966,0.36806677501799817,2.950059047055373,-0.19974110441132523,电子,2010-01-01
601800.SH,140334560483.5,0.16967745337571544,1.9007070991543205,0.05273141122913505,8.87,0.4377298480978737,23.64,0.04678806272129489,0.03264559937320444,0.1398097434419141,0.2816876276846656,2.536394856930966,-0.7482226236862844,建筑装饰,2010-01-01
600552.SH,12346012104.58,0.008192479586674907,0.3302057259601283,0.0026252891287586737,2.54,0.8115675066488348,-24.37,0.005397070161912105,0.21898496240601495,0.009338521400778177,0.450534171491442,2.8347622510905253,-0.6041451574821729,建筑材料,2010-01-01
600143.SH,18454187948.26,0.06898414481591522,0.885916783763456,0.005318831942789034,1.93,0.28280758419135343,-84.1,0.06704410011918951,-0.023282887077997638,-0.1296680497925311,0.20367209472576103,4.357513231990944,0.029484050777592977,基础化工,2010-01-01
600128.SH,1905045100.0,0.01926304830228721,1.1082515389208576,0.005277925531914893,1.56,1.873378675523488,-15.28,0.0797872340425532,0.08201438848920861,-0.20000000000000007,0.28056208932555915,5.6358511885465274,-0.21671785727853293,综合,2010-01-01
